FullName,Exists,Length,Attributes,LinkType,Target,can_open,open_error,classification,archive_source
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dchi_minus2\\samples\tiger_GW240925_dchi_minus2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_1\\samples\tiger_GW240925_dc_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_2\\samples\tiger_GW240925_dc_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_4\\samples\tiger_GW240925_dc_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW240925_no_cal\dc_l\\samples\tiger_GW240925_dc_l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_1\\samples\tiger_GW250207_db_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_2\\samples\tiger_GW250207_db_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_3\\samples\tiger_GW250207_db_3.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\db_4\\samples\tiger_GW250207_db_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_0\\samples\tiger_GW250207_dchi_0.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_1\\samples\tiger_GW250207_dchi_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_2\\samples\tiger_GW250207_dchi_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_3\\samples\tiger_GW250207_dchi_3.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_4\\samples\tiger_GW250207_dchi_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_5l\\samples\tiger_GW250207_dchi_5l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_6\\samples\tiger_GW250207_dchi_6.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_6l\\samples\tiger_GW250207_dchi_6l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_7\\samples\tiger_GW250207_dchi_7.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dchi_minus2\\samples\tiger_GW250207_dchi_minus2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dc_1\\samples\tiger_GW250207_dc_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dc_2\\samples\tiger_GW250207_dc_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dc_4\\samples\tiger_GW250207_dc_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_cal\dc_l\\samples\tiger_GW250207_dc_l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\db_1\\samples\tiger_GW250207_db_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\db_2\\samples\tiger_GW250207_db_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\db_3\\samples\tiger_GW250207_db_3.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\db_4\\samples\tiger_GW250207_db_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_0\\samples\tiger_GW250207_dchi_0.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_1\\samples\tiger_GW250207_dchi_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_2\\samples\tiger_GW250207_dchi_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_3\\samples\tiger_GW250207_dchi_3.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_4\\samples\tiger_GW250207_dchi_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_5l\\samples\tiger_GW250207_dchi_5l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_6\\samples\tiger_GW250207_dchi_6.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_6l\\samples\tiger_GW250207_dchi_6l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_7\\samples\tiger_GW250207_dchi_7.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dchi_minus2\\samples\tiger_GW250207_dchi_minus2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dc_1\\samples\tiger_GW250207_dc_1.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dc_2\\samples\tiger_GW250207_dc_2.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dc_4\\samples\tiger_GW250207_dc_4.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,0,"Archive, ReparsePoint",SymbolicLink,\home\tgr.o4\GW240925_GW250207\TIGER\GW250207_no_cal\dc_l\\samples\tiger_GW250207_dc_l.h5,False,[Errno 2] No such file or directory: '',BROKEN_LINUX_ABSOLUTE_SYMLINK,UNKNOWN
,True,200078148,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
,True,306692287,Archive,,,False,[Errno 2] No such file or directory: '',REGULAR_FILE,UNKNOWN
